Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
3928;-3200;15508;-144;-325;-25;32,87;32,63
4056;-2952;15340;-150;-448;-55;32,77;32,63
4400;-2600;15356;-211;-635;25;32,73;33,7
4464;-2648;15088;174;-269;-119;32,69;33,67
4580;-2664;15176;61;-213;-108;32,69;34,5
4604;-2580;15240;-66;-240;-113;32,69;34,35
4648;-2548;15412;-426;-120;-37;32,69;34,65
4632;-2632;15320;-811;-85;97;32,73;34,65
4744;-2528;15252;-468;-16;-32;32,73;34,91
4628;-2612;15120;-90;284;-159;32,73;35,21
4428;-2688;15328;-490;363;-64;32,77;35,81
4368;-2916;14844;-18;330;-101;32,81;36,25
4096;-3072;15432;-803;531;-29;32,87;36,51
3952;-3116;15512;-864;343;22;32,87;37,3
3792;-3076;15560;-746;218;15;32,91;37,11
3680;-3212;14960;-287;43;-79;32,99;36,91
3764;-2972;15308;-73;-4;-55;33,03;36,91
3712;-3080;15148;399;-38;-161;33,03;36,25
3708;-3140;15304;-277;-138;-51;33,03;35,29
3728;-3228;15516;-490;80;-20;33,03;34,91
3940;-3152;15364;355;-495;-62;32,99;34,51
4120;-2964;15396;-87;-365;12;32,95;34,25
4284;-2692;15460;-122;-257;-63;32,95;34,25
4492;-2788;15548;-54;-435;-74;32,91;34,21
4664;-2544;15128;482;-388;-190;32,87;34,29
4700;-2632;15296;39;-295;-79;32,87;34,29
4760;-2488;15108;62;-300;-132;32,87;34,43
4696;-2236;15012;373;-342;-255;32,87;34,55
5024;-2136;15280;-507;-133;6;32,87;34,65
4860;-2284;15316;-212;125;-57;32,87;34,77
4840;-2428;14960;-353;77;-45;32,87;35,39
4808;-2308;15428;-819;684;-5;32,87;35,73
4508;-2572;15396;-1066;840;108;32,91;36,21
4276;-2768;15176;-643;731;42;32,95;36,59
4064;-3076;15260;-870;410;79;32,99;36,59
3808;-3248;14992;-856;159;83;33,03;36,79
3936;-3460;15140;-744;681;67;33,13;36,79
3576;-3424;15304;-35;-78;-96;33,17;36,87
3612;-3732;15152;-363;-70;-45;33,21;36,95
3488;-3632;15724;-785;6;51;33,21;36,91
3548;-3660;15228;-802;246;-13;33,21;36,55
3436;-3840;15444;-310;-41;-55;33,25;35,91
3444;-3824;15340;-202;84;-17;33,25;35,21
3716;-3676;15460;-106;-356;-42;33,25;35,21
3656;-3532;15216;267;-483;-167;33,21;34,29
3936;-3448;15320;424;-533;-164;33,07;33,33
4144;-3204;15288;-300;-261;20;33,03;32,93
4248;-2984;15272;-118;-134;-57;32,99;32,89
4308;-2924;15260;31;-527;-90;32,99;33,7
4604;-2660;15372;-188;-318;-23;32,99;33,23
4620;-2672;15200;-162;-25;-107;32,99;33,45
4724;-2612;15364;-314;119;-98;32,99;33,81
4648;-2612;15312;-531;-92;6;32,99;33,81
4592;-2632;15208;-489;-337;46;32,99;34,25
4636;-2564;15076;-653;579;8;32,99;35,3
4356;-2760;15200;-389;726;-110;33,03;35,55
4240;-3020;15104;-707;390;33;33,07;36,7
4028;-3172;15080;-449;373;-54;33,13;36,29
4008;-3368;15276;-620;436;26;33,13;36,43
3760;-3432;15520;-624;474;-24;33,17;36,47
3708;-3448;15228;-178;173;-91;33,21;36,47
3624;-3436;15632;-661;127;-12;33,21;36,47
3612;-3588;15336;-1006;247;57;33,25;36,21
3536;-3500;15284;-298;1;-68;33,25;35,73
